,hr (k=10),hr (k=100),hr (k=500),mrr,low-degree accuracy,low-co accuracy
Random,5.159958720330237e-05,0.0010319917440660474,0.0058823529411764705,0.0010614209172147698,0.0010250587569419658,0.0011792727474551096
ColTrackCfALS,0.021001031991744065,0.0740454076367389,0.1570175438596491,0.012169487360557918,0.015201790112106615,0.010822101185785138
TrackTrackCfALS,0.010371517027863777,0.04633642930856553,0.13214654282765737,0.0057761930960197865,0.008143622435670982,0.00526573189861356
PageRank,0.050928792569659445,0.1042827657378741,0.13163054695562434,0.026154674408891035,0.024690068118676523,0.025328871352298714
node2vec,0.019865841073271415,0.07440660474716203,0.152218782249742,0.010055709813044423,0.010036328516918538,0.010142279769395303
OpenL3,0.01929824561403509,0.035500515995872034,0.06769865841073272,0.013831419953219876,0.015902095609921493,0.01046436922358158
PinSageOpenL3LFMBestBest,0.03292053663570691,0.09556243550051599,0.2307017543859649,0.01791193736812398,0.021436504919510067,0.014426648571115731
PinSagePageRank,0.04231166150670795,0.07781217750257997,0.1347781217750258,0.023267611174174,0.0300387020042137,0.021742820366974613
PinSageBaseL,0.0326625386996904,0.09860681114551084,0.24241486068111456,0.018033783029163464,0.02320924258604239,0.01293830252738251
PinSageFewEpochsL,0.021929824561403508,0.05454076367389061,0.11429308565531476,0.013431423851261805,0.01791848379172897,0.011051972656400186
