,intra diversity,inter diversity,coverage,average degree,low-degree accuracy
Random,0.9867716273292899,0.998959,1.0,5.826770397217189,0.0010351966873706005
ColTrackCfALS,0.7227172255516052,0.9979610000000001,0.9988647961840488,6.448129933970714,0.059006211180124224
TrackTrackCfALS,0.9448628574609756,0.183486,0.09735674561019808,9.484313670353476,0.047619047619047616
PageRank,0.8032507002353668,0.96385,0.9997083880105814,17.292058884792436,0.09420289855072464
node2vec,0.7034434080123901,0.997993,0.9987398196171551,4.266251952758858,0.06314699792960662
OpenL3,0.42302262783050537,0.998067,0.9948655460434502,6.2085414193172115,0.038302277432712216
PinSageOpenL3LFMBestBest,0.6311847567558289,0.998448,0.9998958528609219,6.511862671582412,0.09213250517598344
PinSagePageRank,0.6385404169559479,0.998432,0.9996563144410423,7.007752921327251,0.06935817805383022
PinSageBaseL,0.6447613537311554,0.9978950000000001,0.9988960403257723,7.158988210543856,0.10559006211180125
PinSageFewEpochsL,0.6228920519351959,0.997548,0.997437980378679,5.649502384969485,0.06314699792960662
